"Wollaston Beach, Quincy: Bacterial Water Quality",,,,,,,,,,,
,,,,Milton Road,,Channing Street,,Sachem Street,,Rice Road,
"August 3, 2002",0,0.11,0.11,<,5,,5,,10,,25
"August 2, 2002",0.11,0.11,0.11,,48,,18,,6,,8
"August 1, 2002",0,0,0,<,2,,24,,24,,6
"July 31, 2002",0,0,0,,10,,20,,20,,20
"July 30, 2002",0,0,0.02,,5,,15,,60,<,5
"July 29, 2002",0,0.02,0.09,,10,,20,,40,<,5
"July 28, 2002",0.02,0.09,0.09,,5,,30,,5,<,5
"July 27, 2002",0.07,0.07,0.07,,5,,5,,10,<,5
"July 26, 2002",0,0,0,,10,,62,,6,,4
"July 25, 2002",0,0,0.46,,24,,22,,8,<,2
"July 24, 2002",0,0.46,0.46,,60,,120,,25,,35
"July 23, 2002",0.46,0.46,0.46,,10,<,5,,20,,5
"July 22, 2002",0,0,0,<,5,,15,<,5,,5
"July 21, 2002",0,0,0.2,,5,,20,,30,<,5
"July 20, 2002",0,0.2,0.2,,150,,260,,520,,125
"July 19, 2002",0.2,0.2,0.2,,810,,1100,,24,,30
"July 18, 2002",0,0,0,,4,,52,,32,,44
"July 17, 2002",0,0,0.05,<,5,,15,,10,,5
"July 16, 2002",0,0.05,0.05,,45,,80,,105,,40
"July 15, 2002",0.05,0.05,0.05,,10,<,5,<,5,<,5
"July 14, 2002",0,0,0,,10,,20,,15,<,5
"July 13, 2002",0,0,0,,10,,15,,10,<,5
"July 12, 2002",0,0,0.01,,12,,44,,20,,4
"July 11, 2002",0,0.01,0.62,,10,,34,,22,,12
"July 10, 2002",0.01,0.62,0.62,,10,,25,,420,,30
"July 9, 2002",0.61,0.61,0.61,<,5,<,5,,15,<,5
"July 8, 2002",0,0,0,,5,<,5,,30,<,5
"July 7, 2002",0,0,0,<,5,,15,<,5,,10
"July 6, 2002",0,0,0,<,5,<,5,,10,,15
"July 5, 2002",0,0,0,,8,,48,,8,<,2
"July 3, 2002",0,0,0,,5,,25,,5,,5
"July 2, 2002",0,0,0,,5,,5,,5,<,5
"July 1, 2002",0,0,0,,5,<,5,,5,,5
"June 28, 2002",0.01,1.33,1.33,,72,,16,,48,,28
"June 27, 2002",1.32,1.32,1.32,,10,,26,,12,,4
"June 20, 2002",0,0.02,0.02,,2,,14,,22,,36
"June 6, 2002",0.79,1.02,1.02,,50,,36,,14,,10
"September 20, 2001",0.01,0.01,0.01,,10,,26,,126,,6
"September 13, 2001",0.05,0.05,0.05,,6,,8,,16,,4
"September 6, 2001",0,0,0.1,,12,,16,,14,,2
"September 3, 2001",0,0,0.02,<,5,<,5,,15,,40
"September 2, 2001",0,0.02,0.02,,15,<,5,,30,,55
"September 1, 2001",0.02,0.02,0.02,,10,<,5,,5,,20
"August 31, 2001",0,0,0,<,2,,2,<,2,<,2
"August 30, 2001",0,0,0,,10,,88,,12,,6
"August 29, 2001",0,0,0.1,,5,,35,,55,,230
"August 28, 2001",0,0.1,0.1,,10,,200,,5,,15
"August 27, 2001",0.1,0.1,0.1,,100,<,5,,100,,25
"August 26, 2001",0,0,0,,15,,5,,60,<,5
"August 25, 2001",0,0,0,,5,,65,,10,,65
"August 24, 2001",0,0,0,,4,,16,,62,,26
"August 23, 2001",0,0,0,,56,,30,,690,,62
"August 22, 2001",0,0,0.3,<,5,,50,,100,,295
"August 21, 2001",0,0.3,0.3,,145,,705,,40,,60
"August 20, 2001",0.3,0.3,0.3,,320,,280,,515,,185
"August 19, 2001",0,0,0.17,,90,,340,,170,,320
"August 18, 2001",0,0.17,0.17,,25,,25,,510,,165
"August 17, 2001",0.17,0.17,0.17,,104,,14,,54,,72
"August 16, 2001",0,0,0,,68,,32,,78,,24
"August 15, 2001",0,0,0.36,,30,,240,,10,,105
"August 14, 2001",0,0.36,1.48,,255,,250,,70,,85
"August 13, 2001",0.36,1.48,1.48,,230,,685,,320,,95
"August 12, 2001",1.12,1.12,1.6,,3160,,4160,,3580,,65
"August 11, 2001",0,0.48,0.48,,15,,165,,110,,500
"August 10, 2001",0.48,0.48,0.48,,48,,8,,2,,10
"August 9, 2001",0,0,0,,6,,12,,50,,24
"August 8, 2001",0,0,0,,20,,90,,5,,90
"August 7, 2001",0,0,0,,330,,30,,405,,10
"August 6, 2001",0,0,0.04,,40,,5,,40,,55
"August 5, 2001",0,0.04,1.61,,90,,55,,60,,60
"August 4, 2001",0.04,1.61,1.61,,210,,75,,30,,195
"August 3, 2001",1.57,1.57,1.57,,20,,12,,10,,2
"August 2, 2001",0,0,0,,56,,44,,16,,22
"August 1, 2001",0,0,0,,15,,65,,100,,5
"July 31, 2001",0,0,0,,5,<,5,<,5,<,5
"July 30, 2001",0,0,0,,5,<,5,,10,,10
"July 29, 2001",0,0,0,,5,<,5,<,5,<,5
"July 28, 2001",0,0,0.21,<,5,,10,<,5,,10
"July 27, 2001",0,0.21,0.21,,10,,144,,62,,38
"July 26, 2001",0.21,0.21,0.21,,24,,62,,32,,4
"July 25, 2001",0,0,0,<,5,,5,<,5,,5
"July 24, 2001",0,0,0,<,5,,10,<,5,<,5
"July 23, 2001",0,0,0,,40,,40,,20,,15
"July 22, 2001",0,0,0,,10,,10,,195,,5
"July 21, 2001",0,0,0,,15,,60,<,5,,5
"July 20, 2001",0,0,0,,2,<,2,,38,,34
"July 19, 2001",0,0,0.3,,24,,96,,24,,50
"July 18, 2001",0,0.3,0.3,,55,,385,<,5,,25
"July 17, 2001",0.3,0.3,0.3,,30,,480,,5,,85
"July 16, 2001",0,0,0,<,5,<,5,<,5,<,5
"July 15, 2001",0,0,0,<,5,<,5,,5,<,5
"July 14, 2001",0,0,0.02,<,5,,10,,15,<,5
"July 13, 2001",0,0.02,0.03,<,2,,16,,10,,4
"July 12, 2001",0.02,0.03,0.24,<,2,,18,,14,,22
"July 11, 2001",0.01,0.22,0.22,,5,,105,,25,,10
"July 10, 2001",0.21,0.21,0.3,,10,,25,<,5,,55
"July 9, 2001",0,0.09,0.09,,5,,5,<,5,,340
"July 8, 2001",0.09,0.09,0.09,,100,,20,,10,<,5
"July 7, 2001",0,0,0.62,<,5,,50,,45,,10
"July 6, 2001",0,0.62,0.62,,12,,30,,10,,6
"July 5, 2001",0.62,0.62,0.62,<,2,,4,,4,<,2
"July 4, 2001",0,0,0,,10,,535,,10,,45
"July 3, 2001",0,0,0.67,,40,,20,,20,,10
"July 2, 2001",0,0.67,1.64,,10,,205,,220,,25
"July 1, 2001",0.67,1.64,1.64,<,5,,50,,60,,15
"June 30, 2001",0.97,0.97,0.97,<,5,<,5,,20,<,5
"June 29, 2001",0,0,0,,6,,50,<,2,,4
"June 28, 2001",0,0,0,,2,<,2,,12,,8
"June 27, 2001",0,0,0,,20,<,10,,450,,10
"June 26, 2001",0,0,0.04,<,10,<,10,<,10,<,10
"June 25, 2001",0,0.04,0.46,,30,,40,<,10,,50
"June 24, 2001",0.04,0.46,0.46,,10,<,10,,10,<,10
"June 23, 2001",0.42,0.42,0.42,,30,,10,,20,<,10
"June 22, 2001",0,0,0.32,,156,,440,,22,,330
"June 21, 2001",0,0.32,0.32,,220,,280,,340,,46
"June 14, 2001",0,0,0.12,<,1,,14,<,2,<,2
"June 7, 2001",0,0,0,,12,,118,,12,,24
"May 31, 2001",0,0.01,0.01,,2,,2,<,2,<,2
"May 24, 2001",0.34,0.37,0.86,,2540,,670,<,2,,2
